🕘️更新时间,#genre#
2025-05-25 15:24:27,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8

📺央视频道,#genre#
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
CCTV-1,http://112.101.78.50:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://qjrhc.jydjd.top:2911/udp/224.1.100.90:11111
CCTV-2,http://112.101.78.50:9901/tsfile/live/0002_1.m3u8
CCTV-2,http://qjrhc.jydjd.top:2911/udp/224.1.100.94:11111
CCTV-4,http://119.32.12.17:2901/udp/224.1.100.104:11111
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4,http://112.101.78.50:9901/tsfile/live/0004_1.m3u8
CCTV-4,http://qjrhc.jydjd.top:2911/udp/224.1.100.104:11111
CCTV-5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100
CCTV-5,http://qjrhc.jydjd.top:2911/udp/224.1.100.82:11111
CCTV-5,http://omnix.cn:4000/udp/225.1.8.89:8000
CCTV-5+,http://xmiin.com:35455/bptv/10000100000000050000000003870759.m3u8
CCTV-6,http://112.101.78.50:9901/tsfile/live/0006_1.m3u8
CCTV-6,http://119.32.12.17:2901/udp/224.1.100.84:11111
CCTV-6,http://qjrhc.jydjd.top:2911/udp/224.1.100.84:11111
CCTV-7,http://119.32.12.17:2901/udp/224.1.100.27:11111
CCTV-7,http://qjrhc.jydjd.top:2911/udp/224.1.100.27:11111
CCTV-7,http://112.101.78.50:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://omnix.cn:4000/udp/225.1.8.7:8104
CCTV-9,http://112.101.78.50:9901/tsfile/live/0009_1.m3u8
CCTV-9,http://119.32.12.17:2901/udp/224.1.100.29:11111
CCTV-10,http://qjrhc.jydjd.top:2911/udp/224.1.100.76:11111
CCTV-11,http://119.32.12.17:2901/udp/224.1.100.44:11111
CCTV-12,http://119.32.12.17:2901/udp/224.1.100.78:11111
CCTV-12,http://xmiin.com:35455/bptv/10000100000000050000000003870755.m3u8
CCTV-14,http://112.101.78.50:9901/tsfile/live/0014_1.m3u8
CCTV-14,http://119.32.12.17:2901/udp/224.1.100.80:11111
CCTV-15,http://qjrhc.jydjd.top:2911/udp/224.1.100.42:11111
CCTV-16,http://home.yulei.online:9999/rtp/226.0.2.169:9264
CCTV-17,http://xmiin.com:35455/bptv/10000100000000050000000003870758.m3u8
CETV-1,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=cetv1&videoTVChannel=cetv1&P2PChannelID=pd://cctv_p2p_hdcetv1&tai=cetv1&VideoName=cetv1&channelID=cetv1
CETV-1,http://120.198.95.220:9901/tsfile/live/1039_1.m3u8?key=txiptv
CETV-1,rtsp://115.153.254.81/PLTV/88888888/224/3221226858/63768493.smil
CETV-1,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226858/63768493.smil
CETV-1,rtsp://115.153.212.72/PLTV/88888888/224/3221226858/63768493.smil
CETV-1,rtsp://115.153.233.154/PLTV/88888888/224/3221226858/63768493.smil
